Order_ID,Date,Customer_ID,Product_ID,Channel,Quantity,Unit_Price,Total_Sales
O000242,2025-08-29,C00548,P0089,Online,3,1193,3579
O000243,2026-04-30,C00774,P0177,Marketplace,4,7088,28352
O000244,2026-01-28,C00441,P0077,Mobile App,1,1363,1363
O000245,2026-02-12,C00008,P0153,Mobile App,2,13018,26036
O000246,2026-03-28,C00575,P0049,Marketplace,4,11345,45380
O000247,2025-03-25,C00733,P0102,Marketplace,2,4873,9746
O000248,2025-05-15,C00082,P0097,Marketplace,2,1728,3456
O000249,2025-09-22,C00783,P0161,Mobile App,2,5953,11906
O000250,2026-02-19,C00276,P0073,Marketplace,5,2182,10910
O000251,2025-04-04,C00140,P0049,Mobile App,1,11345,11345
O000252,2025-11-13,C00464,P0029,Mobile App,4,2877,11508
O000253,2025-09-09,C00193,P0180,Mobile App,5,6853,34265
O000254,2025-01-26,C00993,P0005,Online,2,688,1376
O000255,2025-05-25,C00276,P0048,Store,1,8869,8869
O000256,2026-01-08,C00009,P0184,Store,4,11269,45076
O000257,2025-01-08,C00506,P0024,Store,2,10615,21230
O000258,2025-06-09,C00805,P0088,Marketplace,4,11232,44928
O000259,2025-12-23,C00811,P0096,Online,4,1028,4112
O000260,2026-03-08,C00769,P0085,Store,1,10996,10996
O000261,2026-02-02,C00402,P0015,Online,3,13423,40269
O000262,2025-04-03,C00197,P0140,Mobile App,4,9389,37556
O000263,2025-03-04,C00998,P0098,Store,1,6858,6858
O000264,2025-05-07,C00756,P0099,Online,4,3702,14808
O000265,2026-01-12,C00790,P0051,Online,4,12792,51168
O000266,2025-08-31,C00399,P0134,Mobile App,2,14062,28124
O000267,2025-11-19,C00746,P0083,Online,2,4181,8362
O000268,2025-09-24,C00126,P0191,Mobile App,5,7984,39920
O000269,2025-04-12,C00370,P0124,Online,3,7379,22137
O000270,2026-05-14,C00116,P0171,Store,2,6167,12334
O000271,2025-06-16,C00016,P0163,Store,4,652,2608
O000272,2025-03-03,C00406,P0071,Store,5,11204,56020
O000273,2025-10-25,C00803,P0003,Marketplace,1,12266,12266
O000274,2025-03-21,C00381,P0177,Online,5,7088,35440
O000275,2025-09-13,C00094,P0064,Mobile App,2,1603,3206
O000276,2025-01-31,C00365,P0195,Store,1,2617,2617
O000277,2026-02-10,C00110,P0180,Store,5,6853,34265
O000278,2025-06-12,C00572,P0125,Mobile App,2,10221,20442
O000279,2025-01-11,C00706,P0113,Marketplace,2,10347,20694
O000280,2025-05-09,C00921,P0092,Online,2,2496,4992
O000281,2025-10-14,C00302,P0125,Marketplace,4,10221,40884
O000282,2025-04-06,C00557,P0049,Mobile App,5,11345,56725
O000283,2025-05-21,C00889,P0083,Store,4,4181,16724
O000284,2025-03-21,C00461,P0018,Mobile App,5,13788,68940
O000285,2025-07-07,C00465,P0068,Online,5,8845,44225
O000286,2025-07-14,C00752,P0199,Store,5,14099,70495
O000287,2026-03-15,C00373,P0005,Store,5,688,3440
O000288,2025-12-04,C00991,P0083,Marketplace,1,4181,4181
O000289,2025-12-16,C00510,P0049,Store,5,11345,56725
O000290,2025-06-15,C00420,P0157,Mobile App,3,5928,17784
O000291,2025-09-25,C00675,P0029,Online,1,2877,2877
O000292,2025-04-02,C00895,P0012,Online,2,12709,25418
O000293,2025-09-06,C00197,P0052,Online,1,2027,2027
O000294,2025-11-25,C00857,P0009,Marketplace,5,13461,67305
O000295,2025-09-27,C00639,P0169,Mobile App,4,4373,17492
O000296,2025-04-24,C00621,P0013,Online,3,1719,5157
O000297,2025-12-02,C00504,P0004,Online,2,9874,19748
O000298,2025-07-04,C00572,P0120,Marketplace,1,1400,1400
O000299,2026-02-26,C00632,P0095,Mobile App,1,13438,13438
O000300,2026-01-11,C00073,P0136,Mobile App,1,922,922
O000301,2026-05-07,C00532,P0020,Online,2,950,1900
O000302,2025-09-30,C00395,P0026,Store,2,11180,22360
O000303,2025-12-03,C00255,P0050,Store,5,11369,56845
O000304,2025-08-01,C00765,P0143,Online,5,9743,48715
O000305,2025-07-03,C00691,P0197,Marketplace,5,3785,18925
O000306,2026-03-29,C00107,P0180,Store,4,6853,27412
O000307,2025-07-25,C00517,P0047,Mobile App,5,6452,32260
O000308,2025-10-01,C00615,P0169,Marketplace,2,4373,8746
O000309,2025-10-09,C00333,P0091,Mobile App,3,3339,10017
O000310,2026-02-27,C00744,P0106,Mobile App,4,1021,4084
O000311,2025-10-16,C00559,P0156,Store,2,3844,7688
O000312,2026-04-20,C00763,P0097,Mobile App,5,1728,8640
O000313,2025-08-18,C00983,P0093,Marketplace,4,4763,19052
O000314,2025-05-26,C00611,P0001,Online,1,609,609
O000315,2026-04-01,C00310,P0133,Online,2,8480,16960
O000316,2025-04-20,C00877,P0077,Mobile App,2,1363,2726
O000317,2026-04-16,C00567,P0006,Store,3,4011,12033
O000318,2025-08-24,C00365,P0025,Store,1,6265,6265
O000319,2025-07-07,C00911,P0036,Store,3,6682,20046
O000320,2026-02-20,C00308,P0060,Online,3,10013,30039
O000321,2025-10-19,C00940,P0147,Store,4,11374,45496
O000322,2026-01-06,C00333,P0188,Marketplace,1,1730,1730
O000323,2026-02-27,C00921,P0045,Online,4,13177,52708
O000324,2025-01-20,C00749,P0153,Marketplace,3,13018,39054
O000325,2026-04-17,C00790,P0021,Mobile App,1,12865,12865
O000326,2025-08-02,C00953,P0090,Online,4,13316,53264
O000327,2026-01-18,C00669,P0198,Online,2,1022,2044
O000328,2025-01-28,C00313,P0163,Online,4,652,2608
O000329,2025-10-17,C00154,P0082,Mobile App,5,9034,45170
O000330,2025-03-20,C00052,P0129,Marketplace,2,12363,24726
O000331,2025-10-22,C00517,P0115,Online,5,4472,22360
O000332,2025-05-29,C00806,P0057,Marketplace,4,13989,55956
O000333,2025-06-22,C00085,P0038,Marketplace,2,4240,8480
O000334,2025-10-08,C00409,P0147,Mobile App,1,11374,11374
O000335,2025-09-14,C00445,P0022,Store,4,14213,56852
O000336,2025-09-04,C00573,P0196,Store,2,14825,29650
O000337,2025-11-30,C00586,P0125,Store,4,10221,40884
O000338,2026-01-12,C00537,P0144,Store,5,7241,36205
O000339,2025-05-17,C00796,P0063,Marketplace,1,1149,1149
O000340,2025-02-15,C00116,P0083,Marketplace,5,4181,20905
O000341,2025-06-28,C00196,P0109,Mobile App,3,14148,42444
O000342,2025-12-02,C00025,P0089,Mobile App,5,1193,5965
O000343,2025-11-12,C00842,P0044,Marketplace,3,2704,8112
O000344,2025-08-14,C00046,P0160,Store,2,14361,28722
O000345,2025-03-21,C00776,P0052,Online,3,2027,6081
O000346,2025-05-05,C00972,P0029,Store,1,2877,2877
O000347,2025-06-25,C00711,P0074,Online,1,1249,1249
O000348,2025-08-30,C00024,P0079,Mobile App,4,14284,57136
O000349,2025-04-19,C00209,P0054,Mobile App,5,12030,60150
O000350,2025-11-15,C00748,P0141,Store,4,1432,5728
O000351,2025-07-12,C00597,P0178,Online,1,11297,11297
O000352,2025-01-31,C00291,P0066,Store,2,2303,4606
O000353,2025-05-19,C00055,P0179,Marketplace,5,10284,51420
O000354,2025-02-04,C00398,P0168,Mobile App,1,6511,6511
O000355,2026-03-19,C00111,P0170,Online,3,227,681
O000356,2025-04-29,C00390,P0075,Online,4,9838,39352
O000357,2026-03-20,C00612,P0081,Online,4,11160,44640
O000358,2025-09-14,C00990,P0048,Marketplace,2,8869,17738
O000359,2025-01-21,C00254,P0144,Mobile App,1,7241,7241
O000360,2025-07-21,C00763,P0086,Store,4,7139,28556
O000361,2025-12-17,C00361,P0005,Mobile App,3,688,2064
O000362,2025-05-01,C00514,P0161,Mobile App,3,5953,17859
O000363,2026-03-26,C00397,P0016,Online,3,8985,26955
O000364,2025-04-26,C00156,P0143,Mobile App,3,9743,29229
O000365,2025-02-14,C00748,P0101,Marketplace,2,6596,13192
O000366,2026-03-23,C00641,P0134,Store,5,14062,70310
O000367,2025-10-21,C00157,P0107,Marketplace,2,8438,16876
O000368,2025-06-18,C00460,P0080,Store,5,8623,43115
O000369,2025-10-25,C00555,P0053,Store,2,2791,5582
O000370,2025-12-19,C00723,P0036,Store,3,6682,20046
O000371,2025-12-02,C00956,P0111,Store,2,6815,13630
O000372,2025-10-13,C00546,P0082,Online,1,9034,9034
O000373,2026-03-06,C00901,P0048,Store,3,8869,26607
O000374,2026-01-27,C00327,P0187,Marketplace,1,8645,8645
O000375,2025-08-15,C00764,P0106,Mobile App,3,1021,3063
O000376,2025-02-24,C00135,P0039,Store,2,12439,24878
O000377,2025-11-12,C00274,P0007,Store,5,9395,46975
O000378,2025-04-29,C00704,P0153,Online,2,13018,26036
O000379,2025-12-19,C00799,P0092,Marketplace,1,2496,2496
O000380,2026-03-10,C00620,P0035,Marketplace,5,3683,18415
O000381,2025-04-05,C00873,P0183,Marketplace,3,7818,23454
O000382,2025-03-12,C00168,P0126,Store,4,11142,44568
O000383,2025-07-29,C00783,P0058,Online,1,2704,2704
O000384,2025-04-24,C00761,P0070,Store,4,11880,47520
O000385,2025-02-03,C00182,P0194,Marketplace,2,8299,16598
O000386,2025-12-19,C00333,P0158,Marketplace,4,3852,15408
O000387,2025-07-27,C00795,P0064,Online,4,1603,6412
O000388,2026-01-04,C00321,P0156,Marketplace,4,3844,15376
O000389,2025-11-01,C00550,P0157,Online,5,5928,29640
O000390,2025-08-20,C00468,P0134,Online,1,14062,14062
O000391,2025-10-03,C00406,P0063,Online,5,1149,5745
O000392,2025-09-22,C00784,P0143,Online,4,9743,38972
O000393,2025-08-14,C00408,P0049,Mobile App,3,11345,34035
O000394,2025-08-25,C00171,P0199,Marketplace,3,14099,42297
O000395,2026-04-16,C00056,P0076,Store,5,9841,49205
O000396,2025-02-16,C00740,P0119,Online,4,352,1408
O000397,2026-04-26,C00916,P0047,Store,5,6452,32260
O000398,2025-06-15,C00462,P0101,Online,4,6596,26384
O000399,2025-10-30,C00919,P0046,Store,4,9971,39884
O000400,2025-05-09,C00332,P0117,Store,1,2344,2344
O000401,2025-02-16,C00117,P0184,Marketplace,1,11269,11269
O000402,2025-02-13,C00537,P0163,Marketplace,3,652,1956
O000403,2025-11-10,C00973,P0187,Store,5,8645,43225
O000404,2025-07-14,C00045,P0097,Store,5,1728,8640
O000405,2026-03-23,C00676,P0086,Store,5,7139,35695
O000406,2025-04-02,C00788,P0042,Online,2,8548,17096
O000407,2025-06-08,C00748,P0108,Marketplace,3,1131,3393
O000408,2025-03-02,C00921,P0074,Store,2,1249,2498
O000409,2025-11-15,C00784,P0052,Mobile App,1,2027,2027
O000410,2025-09-12,C00876,P0004,Marketplace,4,9874,39496
O000411,2025-11-08,C00904,P0140,Marketplace,1,9389,9389
O000412,2025-10-29,C00676,P0061,Marketplace,2,519,1038
O000413,2025-08-15,C00082,P0117,Online,4,2344,9376
O000414,2025-05-23,C00635,P0063,Store,5,1149,5745
O000415,2025-03-17,C00057,P0013,Mobile App,2,1719,3438
O000416,2026-03-14,C00034,P0010,Mobile App,2,11638,23276
O000417,2025-01-26,C00112,P0085,Marketplace,1,10996,10996
O000418,2025-12-11,C00292,P0046,Store,2,9971,19942
O000419,2025-07-04,C00954,P0117,Online,5,2344,11720
O000420,2025-06-15,C00378,P0024,Marketplace,3,10615,31845
O000421,2026-03-08,C00564,P0018,Online,4,13788,55152
O000422,2025-03-10,C00125,P0075,Mobile App,4,9838,39352
O000423,2025-07-31,C00538,P0085,Store,5,10996,54980
O000424,2025-11-10,C00060,P0179,Online,2,10284,20568
O000425,2025-02-14,C00496,P0147,Mobile App,5,11374,56870
O000426,2026-03-11,C00325,P0110,Mobile App,5,9949,49745
O000427,2025-11-16,C00363,P0135,Store,5,10592,52960
O000428,2025-09-12,C00533,P0158,Marketplace,5,3852,19260
O000429,2026-03-29,C00625,P0127,Store,2,11068,22136
O000430,2025-04-10,C00002,P0182,Online,3,7243,21729
O000431,2025-11-17,C00816,P0007,Online,4,9395,37580
O000432,2026-02-14,C00631,P0189,Marketplace,2,3880,7760
O000433,2025-06-20,C00359,P0106,Store,1,1021,1021
O000434,2025-12-20,C00289,P0003,Mobile App,2,12266,24532
O000435,2025-06-03,C00519,P0018,Mobile App,3,13788,41364
O000436,2025-02-28,C00703,P0197,Mobile App,1,3785,3785
O000437,2026-01-06,C00583,P0088,Online,4,11232,44928
O000438,2025-06-19,C00854,P0045,Mobile App,2,13177,26354
O000439,2026-04-15,C00486,P0173,Online,4,11068,44272
O000440,2025-09-04,C00160,P0166,Marketplace,2,5863,11726
O000441,2025-08-25,C00803,P0138,Marketplace,3,2847,8541
O000442,2026-03-04,C00534,P0191,Mobile App,1,7984,7984
O000443,2025-10-12,C00549,P0145,Online,3,5250,15750
